"secondary_label","label","percent"
"[20,25)","[-9,-8)",0.002533783783783784
"[20,25)","[-8,-7)",0.0045045045045045045
"[20,25)","[-7,-6)",0.006756756756756757
"[20,25)","[-6,-5)",0.0005630630630630631
"[20,25)","[-5,-4)",0.007038288288288288
"[20,25)","[-4,-3)",0.00731981981981982
"[20,25)","[-3,-2)",0.012105855855855855
"[20,25)","[-2,-1)",0.029842342342342343
"[20,25)","[-1,0)",0.10135135135135136
"[20,25)","[0,1)",0.30771396396396394
"[20,25)","[1,2)",0.09740990990990991
"[20,25)","[2,3)",0.07601351351351351
"[20,25)","[3,4)",0.06024774774774775
"[20,25)","[4,5)",0.046734234234234236
"[20,25)","[5,6)",0.028997747747747746
"[20,25)","[6,7)",0.026745495495495496
"[20,25)","[7,8)",0.02787162162162162
"[20,25)","[8,9)",0.012387387387387387
"[20,25)","[9,10)",0.021396396396396396
"[20,25)","[10,11)",0.010416666666666666
"[20,25)","[11,16)",0.04054054054054054
"[20,25)","[16,21)",0.026745495495495496
"[20,25)","[21,26)",0.010698198198198198
"[20,25)","[26,31)",0.016047297297297296
"[20,25)","[31,46)",0.008445945945945946
"[20,25)","[46,61)",0.0019707207207207205
"[20,25)","[61,76)",0.0011261261261261261
"[20,25)","[91,)",0.0016891891891891893
"[20,25)",cancelled,0.0014076576576576576
"[25,30)","[-10,-9)",0.007318695941450432
"[25,30)","[-9,-8)",0.009647371922821025
"[25,30)","[-8,-7)",0.007318695941450432
"[25,30)","[-7,-6)",0.008649367930805056
"[25,30)","[-5,-4)",0.0053226879574184965
"[25,30)","[-4,-3)",0.00499001996007984
"[25,30)","[-3,-2)",0.017964071856287425
"[25,30)","[-2,-1)",0.04125083166999335
"[25,30)","[-1,0)",0.10479041916167664
"[25,30)","[0,1)",0.25981370592149033
"[25,30)","[1,2)",0.09115103127079174
"[25,30)","[2,3)",0.06453759148369927
"[25,30)","[3,4)",0.0748502994011976
"[25,30)","[4,5)",0.054557551563539586
"[25,30)","[5,6)",0.037258815701929474
"[25,30)","[6,7)",0.028942115768463075
"[25,30)","[7,8)",0.029940119760479042
"[25,30)","[8,9)",0.014637391882900865
"[25,30)","[9,10)",0.021956087824351298
"[25,30)","[10,11)",0.012974051896207584
"[25,30)","[11,16)",0.039587491683300065
"[25,30)","[16,21)",0.018629407850964737
"[25,30)","[21,26)",0.010978043912175649
"[25,30)","[26,31)",0.015635395874916833
"[25,30)","[31,46)",0.012308715901530274
"[25,30)","[46,61)",0.00332667997338656
"[25,30)","[61,76)",0.00033266799733865603
