"label","percent"
"[-5,-4)",0.00014633445728028113
"[-4,-3)",0.0006159074777552599
"[-3,-2)",0.00406862245488596
"[-2,-1)",0.0024499359123009664
"[-1,0)",0.0021403483525399367
"[0,1)",0.3885602269480396
"[1,2)",0.20976858496514597
"[2,3)",0.09800285389812573
"[3,4)",0.0661999069710988
"[4,5)",0.04279327305207867
"[5,6)",0.029273211763157798
"[6,7)",0.020364609917632424
"[7,8)",0.014404194860915301
"[8,9)",0.010441340810586265
"[9,10)",0.007955202867132074
"[10,11)",0.006381145431835735
"[11,16)",0.017734588248223052
"[16,21)",0.0078506598282377
"[21,26)",0.003955093401132887
"[26,31)",0.0022708175491366793
"[31,46)",0.0027797742519588705
"[46,61)",0.0010325318030221689
"[61,76)",0.0005627223084719611
"[76,91)",0.0003733065742136157
"[91,)",0.005454124061652059
"cancelled",0.05442068183344026
