"label","primary"
"0",46.0
"1",54.9
"2",68.4
"3",76.7
"4",75.1
"5",69.8
"6",63.1
"7",57.9
"8",55.6
"9",54.0
"10",53.0
"11",51.5
"12",51.3
"13",50.7
"14",50.5
"15",48.9
"16",48.1
"17",45.1
"18",43.6
"19",41.5
"20",40.3
"21",39.3
"22",37.8
"23",40.9
