"label","percent"
"[-5,-4)",0.00018583295027537453
"[-4,-3)",0.000086722043461841446472
"[-3,-2)",0.00010210132210532072
"[-2,-1)",0.00019822181362706616
"[-1,0)",0.00051563303674109668
"[0,1)",0.17577063002069367382
"[1,2)",0.09518748195070770314
"[2,3)",0.09000509225003972980
"[3,4)",0.06907560282500260593
"[4,5)",0.04839858989102926677
"[5,6)",0.04102422578148095618
"[6,7)",0.03297958144438767402
"[7,8)",0.02721021594216024183
"[8,9)",0.02458420411378615626
"[9,10)",0.02095683036484775369
"[10,11)",0.02006483220352595595
"[11,16)",0.06950793143575818989
"[16,21)",0.04662014719678470548
"[21,26)",0.03355288677604181797
"[26,31)",0.02527627165274272347
"[31,46)",0.04450763239422901113
"[46,61)",0.02219443509346329393
"[61,76)",0.01104445807694082224
"[76,91)",0.00608293190568059289
"[91,)",0.01152805094984133711
"cancelled",0.08333945656464508897
