"label","percent"
"[-5,-4)",0.00017879876075399958
"[-4,-3)",0.00096667467047192706
"[-3,-2)",0.00754689872776648612
"[-2,-1)",0.03982546353851695269
"[-1,0)",0.05038783477565137222
"[0,1)",0.47614689251965343528
"[1,2)",0.19034711307073960478
"[2,3)",0.08181618730169187530
"[3,4)",0.04290507331451113244
"[4,5)",0.02315473021274925492
"[5,6)",0.01345561708948600752
"[6,7)",0.00846397797705218798
"[7,8)",0.00562558132817402932
"[8,9)",0.00391005479347509451
"[9,10)",0.00283702825484114058
"[10,11)",0.00217554090524696584
"[11,16)",0.00565829516282066879
"[16,21)",0.00244960966950050909
"[21,26)",0.00136441647714881929
"[26,31)",0.00090160859753039902
"[31,46)",0.00175633020145043245
"[46,61)",0.00103665419972254074
"[61,76)",0.00070574390699866619
"[76,91)",0.00061713153044606540
"[91,)",0.00709620078086944864
"cancelled",0.02867054223273098424
