"label","percent"
"(,-90)",
"[-90,-75)",
"[-75,-60)",
"[-60,-45)",0.000013830110917489558266
"[-45,-30)",0.000069150554587447791331
"[-30,-25)",0.000027660221834979116533
"[-25,-20)",0.000069150554587447791331
"[-20,-15)",0.000041490332752468674799
"[-15,-10)",0.000027660221834979116533
"[-10,-9)",0.01341520758996487152
"[-9,-8)",0.00709484690067214339
"[-8,-7)",0.01006832074793239842
"[-7,-6)",0.00880978065444084862
"[-6,-5)",0.00890659143086327552
"[-5,-4)",0.01349818825546980887
"[-4,-3)",0.01995685005393743258
"[-3,-2)",0.02793682405332890770
"[-2,-1)",0.04628938124083755152
"[-1,0)",0.05924819517052526761
"[0,1)",0.14282355544491466822
"[1,2)",0.07271872320416009736
"[2,3)",0.06099078914612895195
"[3,4)",0.05782369374602384311
"[4,5)",0.05244378059912040495
"[5,6)",0.04815644621469864188
"[6,7)",0.04200204685641578845
"[7,8)",0.03572317649987552900
"[8,9)",0.03064752579315686112
"[9,10)",0.02764639172406162697
"[10,11)",0.02644317207424003541
"[11,16)",0.07685392636848947529
"[16,21)",0.04006583132796725030
"[21,26)",0.02151965258761375266
"[26,31)",0.01215666749647332172
"[31,46)",0.01796531408181893619
"[46,61)",0.00623738002378779078
"[61,76)",0.00247558985423063093
"[76,91)",0.00099576798605924820
"[91,)",0.00224047796863330844
"cancelled",0.00659696290764251929
