"label","primary"
"0",92.3
"1",92.1
"2",94.1
"3",94.9
"4",94.3
"5",92.6
"6",90.6
"7",91.2
"8",92.7
"9",93.0
"10",92.7
"11",91.5
"12",90.8
"13",90.6
"14",89.8
"15",90.1
"16",92.1
"17",94.0
"18",95.0
"19",95.4
"20",95.9
"21",96.4
"22",96.3
"23",94.9
