"label","percent"
"[-5,-4)",0.000019029890209803893752
"[-4,-3)",0.000014896701385955084250
"[-3,-2)",0.000014702958159837171304
"[-2,-1)",0.000093125910687343489109
"[-1,0)",0.01914081897026896102
"[0,1)",0.57330084445998887010
"[1,2)",0.17239877169377884258
"[2,3)",0.07659098116241070563
"[3,4)",0.04064106447522699010
"[4,5)",0.02436077813048851687
"[5,6)",0.01494840930030344279
"[6,7)",0.00983991707617705952
"[7,8)",0.00685788592084551610
"[8,9)",0.00504515971621094995
"[9,10)",0.00378249205755026286
"[10,11)",0.00293785769977665927
"[11,16)",0.00750141480990872606
"[16,21)",0.00303057459698664272
"[21,26)",0.00149714001631361018
"[26,31)",0.00098772449377424441
"[31,46)",0.00166180023148871197
"[46,61)",0.00094002060609898940
"[61,76)",0.00065412018542432253
"[76,91)",0.00069497847911007795
"[91,)",0.00616133596890137064
"cancelled",0.02688415448852358771
