"label","percent"
"[-5,-4)",0.0009122636499044723
"[-4,-3)",0.001436149987867859
"[-3,-2)",0.002452692608640105
"[-2,-1)",0.0019413848025866029
"[-1,0)",0.0037171378500517193
"[0,1)",0.4238888951944956
"[1,2)",0.1953373337332626
"[2,3)",0.0940294916916634
"[3,4)",0.05507846720051779
"[4,5)",0.036588354030410775
"[5,6)",0.026469089477620316
"[6,7)",0.019607837709186005
"[7,8)",0.014917118028915329
"[8,9)",0.011671666474499458
"[9,10)",0.009224337476439907
"[10,11)",0.007576480588366626
"[11,16)",0.02237277896346253
"[16,21)",0.011250207796655072
"[21,26)",0.006440588981192205
"[26,31)",0.004218029870397174
"[31,46)",0.0059944576946772635
"[46,61)",0.0024639042849504285
"[61,76)",0.0012855363423719284
"[76,91)",0.00065866868126187
"[91,)",0.006681657323833768
"cancelled",0.03378546955676921
