"label","secondary_label","percent"
"[-10,-9)","[150,180)",0.02119502172588034054
"[-10,-9)","[180,240)",0.01950941756446948469
"[-10,-9)","[240,300)",0.01902515320119996923
"[-10,-9)","[300,360)",0.01780871451817031278
"[-10,-9)","[360,)",0.01741186586414445400
"[-9,-8)","[0,5)",0.00449266762736288887
"[-9,-8)","[5,10)",0.00370237668697002269
"[-9,-8)","[10,15)",0.00420617554096766351
"[-9,-8)","[15,20)",0.00513893192851978101
"[-9,-8)","[20,25)",0.00507182727453036013
"[-9,-8)","[25,30)",0.00556803150090749685
"[-9,-8)","[30,45)",0.00650729811559492069
"[-9,-8)","[45,60)",0.00709484690067214339
"[-9,-8)","[60,75)",0.00697916151066673266
"[-9,-8)","[75,90)",0.00814609934452316902
"[-9,-8)","[90,120)",0.00811740061022815247
"[-9,-8)","[120,150)",0.00827498408656906429
"[-9,-8)","[150,180)",0.00888696643793869566
"[-9,-8)","[180,240)",0.00939508818196802373
"[-9,-8)","[240,300)",0.00825619855901130740
"[-9,-8)","[300,360)",0.01044114988248056409
"[-9,-8)","[360,)",0.00705073086844368014
"[-8,-7)","[0,5)",0.00556638693453137803
"[-8,-7)","[5,10)",0.00613877941000836021
"[-8,-7)","[10,15)",0.00530026744468757598
"[-8,-7)","[15,20)",0.00606858795578969115
"[-8,-7)","[20,25)",0.00629019918964100530
"[-8,-7)","[25,30)",0.00704463653982219214
"[-8,-7)","[30,45)",0.00916218536761715396
"[-8,-7)","[45,60)",0.01006832074793239842
"[-8,-7)","[60,75)",0.01077397746209308849
"[-8,-7)","[75,90)",0.01197287159474102982
"[-8,-7)","[90,120)",0.01333166355480668519
"[-8,-7)","[120,150)",0.01220029705071079992
"[-8,-7)","[150,180)",0.01248500815949352156
"[-8,-7)","[180,240)",0.01332094640154636858
"[-8,-7)","[240,300)",0.01305094741160483065
"[-8,-7)","[300,360)",0.01423793165792804195
"[-8,-7)","[360,)",0.02269991401547721410
"[-7,-6)","[0,5)",0.00429487722867395666
"[-7,-6)","[5,10)",0.00413233010868267049
"[-7,-6)","[10,15)",0.00464381230245562850
"[-7,-6)","[15,20)",0.00550046482801363496
"[-7,-6)","[20,25)",0.00583685150029750942
"[-7,-6)","[25,30)",0.00655243486018396038
"[-7,-6)","[30,45)",0.00808893307424646392
"[-7,-6)","[45,60)",0.00880978065444084862
"[-7,-6)","[60,75)",0.00985002227391971489
"[-7,-6)","[75,90)",0.01019209638919410450
"[-7,-6)","[90,120)",0.01190855685595883237
"[-7,-6)","[120,150)",0.01156375981328241035
"[-7,-6)","[150,180)",0.01002732938793967873
"[-7,-6)","[180,240)",0.01138798567511275604
"[-7,-6)","[240,300)",0.00976898028255685752
"[-7,-6)","[300,360)",0.00894955704212619779
"[-7,-6)","[360,)",0.00580395528804815133
"[-6,-5)","[0,5)",0.00460569071232799299
"[-6,-5)","[5,10)",0.00472948763883912576
"[-6,-5)","[10,15)",0.00513007537077558959
"[-6,-5)","[15,20)",0.00547464104947835967
"[-6,-5)","[20,25)",0.00623353072847306831
"[-6,-5)","[25,30)",0.00646014704525179192
"[-6,-5)","[30,45)",0.00726422341723530209
"[-6,-5)","[45,60)",0.00890659143086327552
"[-6,-5)","[60,75)",0.01080697586167070897
"[-6,-5)","[75,90)",0.01132876141401129087
"[-6,-5)","[90,120)",0.01263718748576893301
"[-6,-5)","[120,150)",0.01097268952138462005
"[-6,-5)","[150,180)",0.00831678496293820412
"[-6,-5)","[180,240)",0.00711749104694547253
"[-6,-5)","[240,300)",0.00512807363913745801
"[-6,-5)","[300,360)",0.00578557222925329958
"[-6,-5)","[360,)",0.00980223559759243336
"[-5,-4)","[0,5)",0.00562289847701393010
"[-5,-4)","[5,10)",0.00573271228950197062
"[-5,-4)","[10,15)",0.00654023826890347678
"[-5,-4)","[15,20)",0.00774713356058258444
"[-5,-4)","[20,25)",0.00796191879409514635
"[-5,-4)","[25,30)",0.00996708401267419325
"[-5,-4)","[30,45)",0.01136517691716751774
"[-5,-4)","[45,60)",0.01349818825546980887
"[-5,-4)","[60,75)",0.01460179181309706479
"[-5,-4)","[75,90)",0.01587542151328003637
"[-5,-4)","[90,120)",0.01490277335033471470
"[-5,-4)","[120,150)",0.01268527780303719196
"[-5,-4)","[150,180)",0.01201313383535518374
"[-5,-4)","[180,240)",0.01044398159941261969
"[-5,-4)","[240,300)",0.00764082972231481244
"[-5,-4)","[300,360)",0.00691556680527933466
"[-5,-4)","[360,)",0.00563198624247635426
"[-4,-3)","[0,5)",0.00808115057500494476
"[-4,-3)","[5,10)",0.00747641227755882002
"[-4,-3)","[10,15)",0.00824215900802334063
"[-4,-3)","[15,20)",0.01004544985022208450
"[-4,-3)","[20,25)",0.01119202108066755447
"[-4,-3)","[25,30)",0.01193589073122712031
"[-4,-3)","[30,45)",0.01504812689231325410
"[-4,-3)","[45,60)",0.01995685005393743258
"[-4,-3)","[60,75)",0.02070649573495685459
"[-4,-3)","[75,90)",0.01896336149736672603
"[-4,-3)","[90,120)",0.01720251377567284485
"[-4,-3)","[120,150)",0.01574671880209754175
"[-4,-3)","[150,180)",0.01517862409311653330
"[-4,-3)","[180,240)",0.01347078831832416800
"[-4,-3)","[240,300)",0.01248685931129971026
"[-4,-3)","[300,360)",0.00953715422165973603
"[-4,-3)","[360,)",0.00713671539122957868
"[-3,-2)","[0,5)",0.01014382187561809500
"[-3,-2)","[5,10)",0.01019945061507225606
"[-3,-2)","[10,15)",0.01205932409433503525
"[-3,-2)","[15,20)",0.01552009089970044417
"[-3,-2)","[20,25)",0.01836058141841158303
"[-3,-2)","[25,30)",0.02267203986833605070
"[-3,-2)","[30,45)",0.02491075059876180578
"[-3,-2)","[45,60)",0.02793682405332890770
"[-3,-2)","[60,75)",0.02613473246547542444
"[-3,-2)","[75,90)",0.02716629409313075437
"[-3,-2)","[90,120)",0.02157429755453344870
"[-3,-2)","[120,150)",0.01861113637052529478
"[-3,-2)","[150,180)",0.01669255421639370048
"[-3,-2)","[180,240)",0.01759144102971365210
"[-3,-2)","[240,300)",0.01674316043178380042
"[-3,-2)","[300,360)",0.01798951365033447839
"[-3,-2)","[360,)",0.02128116938950988822
"[-2,-1)","[0,5)",0.02003334181006470572
