"label","secondary_label","percent"
"[-15,-10)","[0,1)",0.000041772839299887213334
"[-15,-10)","[1,2)",0.000065004712841681021874
"[-15,-10)","[2,3)",0.000031483644246813780241
"[-15,-10)","[3,4)",0.000030579934558940043868
"[-15,-10)","[4,5)",0.000024716990459241682733
"[-15,-10)","[5,6)",0.000021030825933111458120
"[-15,-10)","[6,7)",0.000071196335761919453212
"[-15,-10)","[7,8)",0.000052822295234372523955
"[-15,-10)","[8,9)",0.000021202162620587299905
"[-15,-10)","[9,10)",0.000038496580220457082729
"[-15,-10)","[10,11)",0.000027660221834979116533
"[-15,-10)","[11,16)",0.02031373694363956375
"[-15,-10)","[16,21)",0.01413342665085839936
"[-15,-10)","[21,26)",0.00970565525801167565
"[-15,-10)","[26,31)",0.01056916572821090332
"[-15,-10)","[31,46)",0.00984302824251568167
"[-15,-10)","[46,61)",0.00944461754167315781
"[-15,-10)","[61,76)",0.00902328984270210950
"[-15,-10)","[76,91)",0.01191355124505000336
"[-15,-10)","[91,)",0.01046779711438345976
"[-10,-9)","[0,1)",0.000005967548471412459048
"[-10,-9)","[2,3)",0.000002998442309220360023
"[-10,-9)","[3,4)",0.000011119976203250925043
"[-10,-9)","[4,5)",0.000016477993639494455155
"[-10,-9)","[5,6)",0.000042061651866222916239
"[-10,-9)","[6,7)",0.000055374927814826241387
"[-10,-9)","[8,9)",0.000021202162620587299905
"[-10,-9)","[10,11)",0.01341520758996487152
"[-10,-9)","[11,16)",0.00544543421285230076
"[-10,-9)","[16,21)",0.00400603778315166013
"[-10,-9)","[21,26)",0.00309570714177472777
"[-10,-9)","[26,31)",0.00294459726401683682
"[-10,-9)","[31,46)",0.00338434829335841023
"[-10,-9)","[46,61)",0.00298917276834397881
"[-10,-9)","[61,76)",0.00337357232857781571
"[-10,-9)","[76,91)",0.00335592992818309954
"[-10,-9)","[91,)",0.00299345530269225048
"[-9,-8)","[0,1)",0.000009282853177752714074
"[-9,-8)","[1,2)",0.000016251178210420255469
"[-9,-8)","[2,3)",0.000005996884618440720046
"[-9,-8)","[4,5)",0.000008238996819747227578
"[-9,-8)","[6,7)",0.000007910703973546605912
"[-9,-8)","[7,8)",0.000021128918093749009582
"[-9,-8)","[8,9)",0.000010601081310293649952
"[-9,-8)","[9,10)",0.01301184411451449396
"[-9,-8)","[10,11)",0.00709484690067214339
"[-9,-8)","[11,16)",0.00534936092045899976
"[-9,-8)","[16,21)",0.00348373820255822335
"[-9,-8)","[21,26)",0.00297303343219391105
"[-9,-8)","[26,31)",0.00328613362379308435
